Scheme-Id	Agency-Id	Version	Schlüssel	Wert	Sprache	Beschreibung
Branchenschluessel	de.ilb	1	1	10.20.0	de	Aalräuchereien
Branchenschluessel	de.ilb	1	2	09.10.0	de	Abbau von Bohranlagen (Dienstleistungen im Rahmen der Erdöl- und Erdgasgewinnung)
Branchenschluessel	de.ilb	1	3	43.99.1	de	Abbau von Gerüsten
Branchenschluessel	de.ilb	1	4	08.11.0	de	Abbau von Grauwacke
Branchenschluessel	de.ilb	1	5	95.24.0	de	Abbau von Messeständen
Branchenschluessel	de.ilb	1	6	08.12.0	de	Abbau von Sand (Sandgrube)
Branchenschluessel	de.ilb	1	7	46.62.0	de	Abbauhämmer (handgeführte Druckluftwerkzeuge), Gh.
Branchenschluessel	de.ilb	1	8	28.24.0	de	Abbauhämmer (handgeführte Druckluftwerkzeuge), H.
Branchenschluessel	de.ilb	1	9	46.14.1	de	Abbauhämmer (handgeführte Druckluftwerkzeuge), V.
Branchenschluessel	de.ilb	1	10	28.92.1	de	Abbaumaschinen (Bergwerksmaschinen), H.
Branchenschluessel	de.ilb	1	11	46.75.0	de	Abbeizmittel (Zubereitungen zum Abbeizen von Metallen), Gh.
Branchenschluessel	de.ilb	1	12	20.59.0	de	Abbeizmittel (Zubereitungen zum Abbeizen von Metallen), H.
Branchenschluessel	de.ilb	1	13	46.13.2	de	Abbeizmittel (Zubereitungen zum Abbeizen von Metallen), V.
Branchenschluessel	de.ilb	1	14	47.52.3	de	Abbeizmittel (Zubereitungen zum Entfernen von Anstrichfarben und Lacken), Eh.
Branchenschluessel	de.ilb	1	15	46.73.6	de	Abbeizmittel (Zubereitungen zum Entfernen von Anstrichfarben und Lacken), Gh.
Branchenschluessel	de.ilb	1	16	20.30.0	de	Abbeizmittel (Zubereitungen zum Entfernen von Anstrichfarben und Lacken), H.
Branchenschluessel	de.ilb	1	17	46.13.2	de	Abbeizmittel (Zubereitungen zum Entfernen von Anstrichfarben und Lacken), V.
Branchenschluessel	de.ilb	1	18	30.30.0	de	Abbremsvorrichtungen für Luftfahrzeuge auf Schiffsdecks, H.
Branchenschluessel	de.ilb	1	19	43.11.0	de	Abbrucharbeiten
Branchenschluessel	de.ilb	1	20	43.11.0	de	Abbruchgewerbe
Branchenschluessel	de.ilb	1	21	38.32.0	de	Abbruchmaterial, Recycling (nicht H.v. Baustoffen)
Branchenschluessel	de.ilb	1	22	13.92.0	de	Abdeckplanen aus textilem Material für Kraftfahrzeuge, H.
Branchenschluessel	de.ilb	1	23	43.99.9	de	Abdichtung gegen Wasser und Feuchtigkeit
Branchenschluessel	de.ilb	1	24	43.99.9	de	Abdichtung von Deponien im Rahmen des Tiefbaus
Branchenschluessel	de.ilb	1	25	43.99.9	de	Abdichtung von Deponien u.a. Umweltbauten
Branchenschluessel	de.ilb	1	26	43.99.9	de	Abdichtung von Kesseln und Rohren (auch auf Schiffen)
